SCIENTIFIC_NAME,Order,Family,brain_size_mm3,body_mass_g,brain_residual,migration_status,diet_breadth,development_mode,development_time_days
Ptilinopus_magnificus,COLUMBIFORMES,Columbidae,2.17,185.5,0.138489577,Resident,0,altricial,20
Ptilinopus_melanospilus,COLUMBIFORMES,Columbidae,1.3,106,-0.060044158,Resident,0,altricial,33
Ptilinopus_monacha,COLUMBIFORMES,Columbidae,0.91,85.9,-0.298809214,Resident,0,altricial,NA
Ptilinopus_occipitalis,COLUMBIFORMES,Columbidae,1.95,238,-0.108166935,Resident,0,altricial,39
Ptilinopus_ornatus,COLUMBIFORMES,Columbidae,1.7,163.25,-0.033955507,Resident,0,altricial,NA
Ptilinopus_porphyraceus,COLUMBIFORMES,Columbidae,1.3,119,-0.124919274,Resident,0,altricial,NA
Ptilinopus_pulchellus,COLUMBIFORMES,Columbidae,0.99,70,-0.099760742,Resident,0,altricial,NA
Ptilinopus_purpuratus,COLUMBIFORMES,Columbidae,0.99,88.5,-0.231271031,Resident,0.007861001,altricial,NA
Ptilinopus_regina,COLUMBIFORMES,Columbidae,1.21,101.9,-0.109666337,Resident,0,altricial,29
Ptilinopus_rivoli,COLUMBIFORMES,Columbidae,1.45,149,-0.141799263,Resident,0,altricial,NA
Ptilinopus_superbus,COLUMBIFORMES,Columbidae,1.09,118,-0.296373375,Resident,0,altricial,21
Ptilonorhynchus_violaceus,PASSERIFORMES (CLIMACTERIDA),Ptilonorhynchidae,4.72,219,0.822469959,Resident,0.159097201,altricial,40.6
